Experiment	Subject	Age	Gender	Num_Chinese	English	Trial	RT	Item	Key_T	Error	Duration	SyLen_factor	SegLen_factor	SegName	Syllables	SyStruct	Block	Decay_boxcox	HD	PND	NF	Freq
exp1	p15	18	F	3	8	94	0.89	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p31	18	F	1	7	4	0.807	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p08	23	F	2	7	126	0.652	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p28	21	M	2	8	34	0.69	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p33	20	F	2	1	81	0.887	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p23	19	M	3	6	41	0.826	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p05	19	M	2	7	25	0.812	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p18	21	F	3	6	83	0.782	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p13	19	F	1	8	81	1.129	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p09	24	F	1	5	126	0.823	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p11	22	F	3	7	4	0.741	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p34	28	M	2	5	121	1.194	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p30	35	M	3	6	102	0.987	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p24	19	M	1	7	109	0.598	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p25	23	M	2	8	41	0.817	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p29	20	F	3	8	25	1.015	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p16	19	F	1	8	121	0.772	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p01	27	F	2	6	127	0.914	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p20	23	F	1	5	83	0.905	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p03	25	F	2	9	127	0.606	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p32	24	F	3	6	126	0.933	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p14	24	F	2	6	94	0.254	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p10	20	F	2	8	4	0.684	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p19	20	M	2	6	50	0.948	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p07	24	F	3	6	102	0.718	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p26	20	M	3	5	109	0.533	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p21	22	F	1	8	50	0.746	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
exp1	p06	22	F	6	8	102	0.716	ceng2	c@N2	0	611	sy1	seg3	3-Segment	Monosyllable	CVN	NA	NA	1	15	4.208	3.235
